"Data do Registro","Dia","Prestador de Serviço","Serviços","Janela de atendimento","Capacidade","Ocupada","Disponível","% Uso"
"28/02/2026","Sabado","FRQ BASE LESTE SP R01","MP MudEnd","Período da Tarde","5","0","5","0%"
"28/02/2026","Sabado","FRQ BASE LESTE SP R01","Troca","Período da Manhã","1","0","1","0%"
"28/02/2026","Sabado","FRQ BASE LESTE SP R01","Troca","Período da Tarde","5","0","5","0%"
"28/02/2026","Sabado","FRQ BASE LESTE SP R01","Desistalação MudEnd, Desistalação","Período da Manhã","1","1","0","100%"
"28/02/2026","Sabado","FRQ BASE LESTE SP R01","Desistalação, Desistalação MudEnd","Período da Tarde","5","0","5","0%"
"28/02/2026","Sabado","FRQ BASE LESTE SP R01","Desistalação MudEnd","Período da Manhã","5","0","5","0%"
"28/02/2026","Sabado","FRQ BASE LESTE SP R01","Desistalação MudEnd","Período da Tarde","5","0","5","0%"
"28/02/2026","Sabado","FRQ BASE LESTE SP R01","Segurança de Produto","Período da Manhã","5","0","5","0%"
"28/02/2026","Sabado","FRQ BASE LESTE SP R01","Segurança de Produto","Período da Tarde","5","0","5","0%"
"28/02/2026","Sabado","FRQ GUARULHOS SP R01","Instalação, Instalação Mud_End","Período da Manhã","1","0","1","0%"
"28/02/2026","Sabado","FRQ GUARULHOS SP R01","Instalação Mud_End, Instalação","Período da Tarde","5","0","5","0%"
"28/02/2026","Sabado","FRQ GUARULHOS SP R01","Instalação Mud_End","Período da Manhã","5","0","5","0%"
"28/02/2026","Sabado","FRQ GUARULHOS SP R01","Instalação Mud_End","Período da Tarde","5","0","5","0%"
"28/02/2026","Sabado","FRQ GUARULHOS SP R01","Reparo","Período da Manhã","1","2","0","100%"
"28/02/2026","Sabado","FRQ GUARULHOS SP R01","Reparo MudEnd, Reparo","Período da Tarde","1","0","1","0%"
"28/02/2026","Sabado","FRQ GUARULHOS SP R01","Reparo MudEnd","Período da Manhã","5","0","5","0%"
"28/02/2026","Sabado","FRQ GUARULHOS SP R01","Reparo MudEnd","Período da Tarde","5","1","4","20%"
"28/02/2026","Sabado","FRQ GUARULHOS SP R01","MP MudEnd, MP.","Período da Manhã","3","0","3","0%"
"28/02/2026","Sabado","FRQ GUARULHOS SP R01","MP MudEnd, MP.","Período da Tarde","2","0","2","0%"
"28/02/2026","Sabado","FRQ GUARULHOS SP R01","MP MudEnd","Período da Manhã","5","0","5","0%"
"28/02/2026","Sabado","FRQ GUARULHOS SP R01","MP MudEnd","Período da Tarde","5","0","5","0%"
"28/02/2026","Sabado","FRQ GUARULHOS SP R01","Troca","Período da Manhã","1","0","1","0%"
"28/02/2026","Sabado","FRQ GUARULHOS SP R01","Troca","Período da Tarde","5","0","5","0%"
"28/02/2026","Sabado","FRQ GUARULHOS SP R01","Desistalação MudEnd, Desistalação","Período da Manhã","1","1","0","100%"
"28/02/2026","Sabado","FRQ GUARULHOS SP R01","Desistalação MudEnd, Desistalação","Período da Tarde","5","0","5","0%"
"28/02/2026","Sabado","FRQ GUARULHOS SP R01","Desistalação MudEnd","Período da Manhã","5","0","5","0%"
"28/02/2026","Sabado","FRQ GUARULHOS SP R01","Desistalação MudEnd","Período da Tarde","5","0","5","0%"
"28/02/2026","Sabado","FRQ GUARULHOS SP R01","Segurança de Produto","Período da Manhã","1","0","1","0%"
